,created_time,id,message
98,2017-12-10T20:45:28+0000,10218552285255958_10214481031597161,"Y pensar que hace algunos años deambulaba por la pampa Patagónica cazando pumas sólo con un taparrabos y mi lanza , y ahora ando tapado hasta las orejas y tengo frío en México."
99,2017-12-07T03:07:39+0000,10218552285255958_10214449938579855,https://www.youtube.com/watch?v=IuUDRU9-HRk
100,2017-11-30T03:28:23+0000,10218552285255958_10214392568785646,
101,2017-11-21T20:53:56+0000,10218552285255958_10214327172950791,"""Criminal, cri-criminal.Tu estilo, tu flow, baby muy criminal"". Pablo Neruda"
102,2017-11-16T01:43:50+0000,10218552285255958_10214279465238128,He descubierto mi vocación. Renuncio el Lunes.
103,2017-11-14T03:32:28+0000,10218552285255958_10214263333754851,
104,2017-10-26T13:09:19+0000,10218552285255958_10214112317699544,"Estoy a más de 6000 kms de mi país, sólo hay cerca de 5000 chilenos en toda la república de México , y tengo un vecino que  me despierta a las 7 AM todos los días escuchando, a todo volúmen, a Maluma, Shakira y Lady Gaga , entre otros próceres de la música. ¿De dónde creen que sea mi vecino?. Sí, mi vecino es chileno . ¿Ya ven porque no vuelvo?"
105,2017-10-24T21:09:19+0000,10218552285255958_10214100125194739,Vayan !!
106,2017-09-28T05:24:23+0000,10218552285255958_10213892373721082,4 años en México ya !!. Te quiero México y a tu gente buena ...y hasta con terremotos y todo
107,2017-09-22T22:38:23+0000,10218552285255958_10213851575781159,
108,2017-09-21T04:40:45+0000,10218552285255958_10213837152580588,
109,2017-09-20T17:33:52+0000,10218552285255958_10213832756390686,
110,2017-08-15T02:30:22+0000,10218552285255958_10213535564921085,
111,2017-06-13T05:42:54+0000,10218552285255958_10212910268369062,https://www.youtube.com/watch?v=eXDU9um19HM
112,2017-06-06T03:02:23+0000,10218552285255958_10212835213172729,
113,2017-05-23T19:54:35+0000,10218552285255958_10212694881464524,🤔
114,2017-05-18T09:43:55+0000,10218552285255958_10212643793147348,
115,2017-05-17T20:42:13+0000,10218552285255958_10212639434118375,
116,2017-05-11T23:59:22+0000,10218552285255958_10212584646988731,Debiesen prohibir que las personas que miden menos de 1.50 mts usen paraguas.
117,2017-05-08T21:22:46+0000,10218552285255958_10212553151081353,
118,2017-05-07T13:37:44+0000,10218552285255958_10212540073074411,
119,2017-04-26T01:08:38+0000,10218552285255958_10212435352256456,#completo #hotdog #perritocaliente #mequedorico
120,2017-04-24T15:15:45+0000,10218552285255958_10212423335036033,Lunes :(
121,2017-04-19T03:25:00+0000,10218552285255958_10212371577142118,"Esta semana, en un oficina de algún lugar lejano que no mencionaré"
122,2017-04-19T02:50:23+0000,10218552285255958_10212371317855636,"Pasito a pasito. Suave, suavecito."
123,2017-04-12T04:49:16+0000,10218552285255958_10212303257474169,
124,2017-04-11T02:20:08+0000,10218552285255958_10212292061194269,
125,2017-04-11T01:32:22+0000,10218552285255958_10212291722145793,#yacasi10años #estamosviejos #fuelaunicafotodecente #españa #chile #marruecos
126,2017-04-11T00:51:38+0000,10218552285255958_10212291377337173,
127,2017-04-10T21:28:22+0000,10218552285255958_10212289890139994,Sara El Bakkali Raquel Raquel
128,2017-04-07T21:34:54+0000,10218552285255958_10212258616678177,
129,2017-04-03T01:59:02+0000,10218552285255958_10212208498025242,Algún día haré esto :D
130,2017-04-02T13:06:34+0000,10218552285255958_10212202741681337,
131,2017-03-25T05:37:49+0000,10218552285255958_10212129615693233,
132,2017-03-19T04:33:53+0000,10218552285255958_10212071429318610,
133,2017-03-19T04:05:00+0000,10218552285255958_10212071306595542,
134,2017-03-19T03:56:16+0000,10218552285255958_10212071266994552,
135,2017-03-16T02:40:21+0000,10218552285255958_10212041995662787,
136,2017-03-09T05:45:01+0000,10218552285255958_10211964299200424,https://www.youtube.com/watch?v=KwwwWz6Ef3I
137,2017-02-27T22:44:21+0000,10218552285255958_10211873740256507,Torres del Paine <3
138,2017-02-24T18:36:31+0000,10218552285255958_10211846280610033,#NowPlaying I Feel It Coming by The Weeknd
139,2017-02-18T13:07:57+0000,10218552285255958_10211790620258559,Vuelvan.... Lorena A Alquinta Gonzalez Leyla Arévalo Berrocal
140,2017-01-21T23:49:24+0000,10218552285255958_10211508376962653,
